Date : 2025-02-24 19:18:02
Directory : c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo
Total : 135 files,  6859 codes, 554 comments, 1315 blanks, all 8728 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\domain\dtos\auth                                                                                                                                              |          2 |         31 |         13 |         23 |         67 |
| src\domain\dtos\customers                                                                                                                                         |          6 |        243 |         24 |         44 |        311 |
| src\domain\dtos\products                                                                                                                                          |          6 |        147 |         29 |         60 |        236 |
| src\domain\dtos\shared                                                                                                                                            |          1 |         14 |          5 |          8 |         27 |
| src\domain\entities                                                                                                                                               |          7 |         71 |          3 |         16 |         90 |
| src\domain\entities (Files)                                                                                                                                       |          1 |         10 |          3 |          4 |         17 |
| src\domain\entities\customers                                                                                                                                     |          3 |         30 |          0 |          7 |         37 |
| src\domain\entities\products                                                                                                                                      |          3 |         31 |          0 |          5 |         36 |
| src\domain\errors                                                                                                                                                 |          1 |         27 |          0 |          8 |         35 |
| src\domain\repositories                                                                                                                                           |          7 |         88 |          3 |         19 |        110 |
| src\domain\repositories (Files)                                                                                                                                   |          1 |          7 |          2 |          4 |         13 |
| src\domain\repositories\customers                                                                                                                                 |          3 |         40 |          0 |          3 |         43 |
| src\domain\repositories\products                                                                                                                                  |          3 |         41 |          1 |         12 |         54 |
| src\domain\use-cases                                                                                                                                              |         38 |      1,064 |        126 |        307 |      1,497 |
| src\domain\use-cases\auth                                                                                                                                         |          2 |         93 |         20 |         48 |        161 |
| src\domain\use-cases\customers                                                                                                                                    |         19 |        554 |         57 |        108 |        719 |
| src\domain\use-cases\product                                                                                                                                      |         15 |        417 |         49 |        149 |        615 |
| src\domain\use-cases\user                                                                                                                                         |          2 |          0 |          0 |          2 |          2 |
| src\infrastructure                                                                                                                                                |         21 |      1,129 |        141 |        401 |      1,671 |
| src\infrastructure\datasources                                                                                                                                    |          7 |        740 |        114 |        284 |      1,138 |
| src\infrastructure\datasources (Files)                                                                                                                            |          1 |         54 |         16 |         36 |        106 |
| src\infrastructure\datasources\customers                                                                                                                          |          3 |        377 |         18 |         68 |        463 |
| src\infrastructure\datasources\products                                                                                                                           |          3 |        309 |         80 |        180 |        569 |
| src\infrastructure\mappers                                                                                                                                        |          7 |        182 |         24 |         49 |        255 |
| src\infrastructure\mappers (Files)                                                                                                                                |          1 |         19 |          3 |          7 |         29 |
| src\infrastructure\mappers\customers                                                                                                                              |          3 |        102 |         12 |         22 |        136 |
| src\infrastructure\mappers\products                                                                                                                               |          3 |         61 |          9 |         20 |         90 |
| src\infrastructure\repositories                                                                                                                                   |          7 |        207 |          3 |         68 |        278 |
| src\infrastructure\repositories (Files)                                                                                                                           |          1 |         16 |          0 |          7 |         23 |
| src\infrastructure\repositories\customers                                                                                                                         |          3 |         93 |          3 |         28 |        124 |
| src\infrastructure\repositories\products                                                                                                                          |          3 |         98 |          0 |         33 |        131 |
| src\presentation                                                                                                                                                  |         20 |        913 |         97 |        294 |      1,304 |
| src\presentation (Files)                                                                                                                                          |          2 |         47 |         14 |         28 |         89 |
| src\presentation\auth                                                                                                                                             |          2 |         98 |         20 |         38 |        156 |
| src\presentation\customers                                                                                                                                        |          6 |        369 |          9 |         86 |        464 |
| src\presentation\middlewares                                                                                                                                      |          2 |        107 |          5 |         30 |        142 |
| src\presentation\products                                                                                                                                         |          6 |        292 |         49 |        110 |        451 |
| src\presentation\user                                                                                                                                             |          2 |          0 |          0 |          2 |          2 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                          | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\docker-compose.yml                                                             | YAML               |         12 |          0 |          3 |         15 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\package-lock.json                                                              | JSON               |      2,624 |          0 |          1 |      2,625 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\package.json                                                                   | JSON               |         33 |          0 |          1 |         34 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\readme.md                                                                      | Markdown           |         42 |          0 |         21 |         63 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\app.ts                                                                     | TypeScript         |         16 |          3 |          4 |         23 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\configs\bcrypt.ts                                                          | TypeScript         |          9 |          0 |          4 |         13 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\configs\envs.ts                                                            | TypeScript         |          8 |          0 |          6 |         14 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\configs\jwt-personal.ts                                                    | TypeScript         |         26 |          7 |          8 |         41 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\configs\jwt.ts                                                             | TypeScript         |         21 |          4 |         12 |         37 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\configs\validator.ts                                                       | TypeScript         |          5 |          1 |          4 |         10 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\customers\city.model.ts                                | TypeScript         |         24 |          0 |          2 |         26 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\customers\customer.model.ts                            | TypeScript         |         41 |          0 |          2 |         43 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\customers\neighborhood.model.ts                        | TypeScript         |         29 |          1 |          3 |         33 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\products\category.model.ts                             | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\products\product.model.ts                              | TypeScript         |         47 |          0 |          5 |         52 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\products\unit.model.ts                                 | TypeScript         |         21 |          0 |          3 |         24 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\user.model.ts                                          | TypeScript         |         34 |          3 |          7 |         44 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\data\mongodb\mongo-database.ts                                             | TypeScript         |         20 |          0 |          9 |         29 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\datasources\auth.datasource.ts                                      | TypeScript         |          7 |          2 |          4 |         13 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\datasources\customers\city.datasource.ts                            | TypeScript         |         13 |          0 |          1 |         14 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\datasources\customers\customer.datasource.ts                        | TypeScript         |         13 |          0 |          1 |         14 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\datasources\customers\neighborhood.datasource.ts                    | TypeScript         |         14 |          0 |          1 |         15 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\datasources\products\category.datasource.ts                         | TypeScript         |         13 |          0 |          6 |         19 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\datasources\products\product.datasource.ts                          | TypeScript         |         15 |          1 |          8 |         24 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\datasources\products\unit.datasource.ts                             | TypeScript         |         13 |          0 |          4 |         17 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\auth\login-user.dto.ts                                         | TypeScript         |         14 |          1 |         10 |         25 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\auth\register-user.dto.ts                                      | TypeScript         |         17 |         12 |         13 |         42 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\customers\create-city.dto.ts                                   | TypeScript         |         24 |          4 |          5 |         33 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\customers\create-customer.dto.ts                               | TypeScript         |         42 |          6 |          9 |         57 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\customers\create-neighborhood.dto.ts                           | TypeScript         |         30 |          5 |          7 |         42 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\customers\update-city.dto.ts                                   | TypeScript         |         37 |          3 |          6 |         46 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\customers\update-customer.dto.ts                               | TypeScript         |         65 |          3 |         10 |         78 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\customers\update-neighborhood.dto.ts                           | TypeScript         |         45 |          3 |          7 |         55 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\products\create-category.ts                                    | TypeScript         |         14 |          5 |         10 |         29 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\products\create-product.dto.ts                                 | TypeScript         |         24 |          5 |         13 |         42 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\products\create-unit.dto.ts                                    | TypeScript         |         14 |          5 |          8 |         27 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\products\udpate-unit.dto.ts                                    | TypeScript         |         34 |          7 |         10 |         51 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\products\update-category.dto.ts                                | TypeScript         |         28 |          4 |          9 |         41 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\products\update-product.dto.ts                                 | TypeScript         |         33 |          3 |         10 |         46 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\shared\pagination.dto.ts                                       | TypeScript         |         14 |          5 |          8 |         27 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\entities\customers\citiy.ts                                         | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\entities\customers\customer.ts                                      | TypeScript         |         12 |          0 |          2 |         14 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\entities\customers\neighborhood.ts                                  | TypeScript         |         10 |          0 |          3 |         13 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\entities\products\category.entity.ts                                | TypeScript         |          8 |          0 |          1 |          9 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\entities\products\product.entity.ts                                 | TypeScript         |         15 |          0 |          2 |         17 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\entities\products\unit.entity.ts                                    | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\entities\user.entity.ts                                             | TypeScript         |         10 |          3 |          4 |         17 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\errors\custom.error.ts                                              | TypeScript         |         27 |          0 |          8 |         35 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\repositories\auth.repository.ts                                     | TypeScript         |          7 |          2 |          4 |         13 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\repositories\customers\city.repository.ts                           | TypeScript         |         13 |          0 |          1 |         14 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\repositories\customers\customer.repository.ts                       | TypeScript         |         13 |          0 |          1 |         14 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\repositories\customers\neighborhood.repository.ts                   | TypeScript         |         14 |          0 |          1 |         15 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\repositories\products\categroy.repository.ts                        | TypeScript         |         13 |          0 |          4 |         17 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\repositories\products\product.repository.ts                         | TypeScript         |         15 |          1 |          6 |         22 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\repositories\products\unit.repository.ts                            | TypeScript         |         13 |          0 |          2 |         15 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\auth\login-user.use-case.ts                               | TypeScript         |         47 |         10 |         25 |         82 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\auth\register-user.use-case.ts                            | TypeScript         |         46 |         10 |         23 |         79 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\create-city.use-case.ts                         | TypeScript         |         33 |          4 |          8 |         45 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\create-customer.use-case.ts                     | TypeScript         |         32 |          4 |          6 |         42 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\create-neighborhood.use-case.ts                 | TypeScript         |         39 |          4 |          8 |         51 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\delete-city.use-case.ts                         | TypeScript         |         26 |          3 |          6 |         35 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\delete-customer.use-case.ts                     | TypeScript         |         26 |          3 |          6 |         35 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\delete-neighborhood.use-case.ts                 | TypeScript         |         26 |          3 |          6 |         35 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\find-city-by-name.use-case.ts                   | TypeScript         |         28 |          3 |          6 |         37 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\find-customers-by-neighborhood.use-case.ts      | TypeScript         |         31 |          3 |          6 |         40 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\find-neighborhoods-by-city.use-case.ts          | TypeScript         |         31 |          3 |          6 |         40 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\get-all-cities.use-case.ts                      | TypeScript         |         28 |          3 |          5 |         36 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\get-all-customers.use-case.ts                   | TypeScript         |         28 |          3 |          5 |         36 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\get-all-neighborhoods.use-case.ts               | TypeScript         |         28 |          3 |          5 |         36 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\get-city-by-id..use-case.ts                     | TypeScript         |         25 |          2 |          5 |         32 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\get-customer-by-email.use-case.ts               | TypeScript         |         26 |          3 |          5 |         34 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\get-customer-by-id.use-case.ts                  | TypeScript         |         25 |          2 |          5 |         32 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\get-neighborhood-by-id.use-case.ts              | TypeScript         |         25 |          2 |          5 |         32 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\update-city.use-case.ts                         | TypeScript         |         27 |          2 |          4 |         33 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\update-customer.use-case.ts                     | TypeScript         |         38 |          4 |          6 |         48 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\update-neighborhood.use-case.ts                 | TypeScript         |         32 |          3 |          5 |         40 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\product\create-category.use-case.ts                       | TypeScript         |         33 |          4 |         15 |         52 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\product\create-product.use-case.ts                        | TypeScript         |         29 |          6 |         17 |         52 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\product\create-unit.use-case.ts                           | TypeScript         |         31 |          5 |         13 |         49 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\product\delete-category.use-case.ts                       | TypeScript         |         26 |          3 |          9 |         38 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\product\delete-product.use-case.ts                        | TypeScript         |         24 |          4 |         10 |         38 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\product\delete-unit.use-case.ts                           | TypeScript         |         26 |          4 |         10 |         40 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\product\get-all-category.use-case.ts                      | TypeScript         |         28 |          3 |          9 |         40 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\product\get-all-products.use-case.ts                      | TypeScript         |         28 |          3 |         13 |         44 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\product\get-all-unit.use-case.ts                          | TypeScript         |         28 |          3 |          9 |         40 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\product\get-category-by-id.use-case.ts                    | TypeScript         |         25 |          2 |          5 |         32 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\product\get-product-by-category.use-case.ts               | TypeScript         |         32 |          4 |         14 |         50 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\product\get-unit-by-id.use-case.ts                        | TypeScript         |         26 |          2 |          5 |         33 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\product\update-category.use-case.ts                       | TypeScript         |         27 |          2 |          7 |         36 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\product\update-product.use-case.ts                        | TypeScript         |         27 |          2 |          7 |         36 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\product\update-unit.use-case.ts                           | TypeScript         |         27 |          2 |          6 |         35 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\user\delete-user.use-case.ts                              | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\user\update-user.use-case.ts                              | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\datasources\auth.mongo.datasource.impl.ts                   | TypeScript         |         54 |         16 |         36 |        106 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\datasources\customers\city.mongo.datasource.impl.ts         | TypeScript         |         97 |          5 |         17 |        119 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\datasources\customers\customer.mongo.datasource.impl.ts     | TypeScript         |        154 |          6 |         25 |        185 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\datasources\customers\neighborhood.mongo.datasource.impl.ts | TypeScript         |        126 |          7 |         26 |        159 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\datasources\products\category.mongo.datasource.impl.ts      | TypeScript         |         88 |         22 |         54 |        164 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\datasources\products\product.mongo.datasource.impl.ts       | TypeScript         |        126 |         34 |         74 |        234 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\datasources\products\unit.mongo.datasource.impl.ts          | TypeScript         |         95 |         24 |         52 |        171 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\mappers\customers\city.mapper.ts                            | TypeScript         |         25 |          3 |          6 |         34 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\mappers\customers\customer.mapper.ts                        | TypeScript         |         45 |          5 |          9 |         59 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\mappers\customers\neighborhood.mapper.ts                    | TypeScript         |         32 |          4 |          7 |         43 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\mappers\products\category.mapper.ts                         | TypeScript         |         17 |          4 |          7 |         28 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\mappers\products\product.mapper.ts                          | TypeScript         |         27 |          4 |          6 |         37 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\mappers\products\unit.mapper.ts                             | TypeScript         |         17 |          1 |          7 |         25 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\mappers\user.mapper.ts                                      | TypeScript         |         19 |          3 |          7 |         29 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\repositories\auth.repository.impl.ts                        | TypeScript         |         16 |          0 |          7 |         23 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\repositories\customers\city.repository.impl.ts              | TypeScript         |         30 |          1 |          9 |         40 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\repositories\customers\customer.repository.impl.ts          | TypeScript         |         30 |          1 |          9 |         40 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\repositories\customers\neighborhood.repository.impl.ts      | TypeScript         |         33 |          1 |         10 |         44 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\repositories\products\category.respository.impl.ts          | TypeScript         |         32 |          0 |         13 |         45 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\repositories\products\product.repository.impl.ts            | TypeScript         |         36 |          0 |         11 |         47 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\repositories\products\unit.repository.impl.ts               | TypeScript         |         30 |          0 |          9 |         39 |
